City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Narsaq,GL,2022-03-08 18:00:00,60.9167,-46.05,15.73,63,49,4.61
210,Bourges,FR,2022-03-08 18:00:01,47.25,2.4167,55.72,60,4,3.98
211,Ravar,IR,2022-03-08 18:00:02,31.2656,56.8055,67.77,28,53,18.88
212,Ulladulla,AU,2022-03-08 18:00:03,-35.35,150.4667,65.3,93,100,24.38
213,Kruisfontein,ZA,2022-03-08 18:00:08,-34.0033,24.7314,69.89,75,82,11.12
214,Palu,ID,2022-03-08 18:00:09,-0.8917,119.8707,74.5,91,95,2.95
215,Nelson Bay,AU,2022-03-08 18:00:11,-32.7167,152.15,68.0,95,100,1.99
216,Cairns,AU,2022-03-08 17:55:16,-16.9167,145.7667,81.07,94,75,2.3
217,Blackwater,AU,2022-03-08 18:00:13,-23.5833,148.8833,78.48,82,5,6.15
218,Barre,US,2022-03-08 17:58:59,44.197,-72.5021,36.19,45,75,17.27
219,Kui Buri,TH,2022-03-08 18:00:14,12.0828,99.8543,83.98,82,90,2.06
220,Muzhi,RU,2022-03-08 18:00:16,65.3667,64.6667,-28.07,92,72,4.5
221,Cayenne,GF,2022-03-08 18:00:07,4.9333,-52.3333,77.04,93,75,4.61
222,Saskylakh,RU,2022-03-08 18:00:20,71.9167,114.0833,-29.04,100,77,5.21
223,Tessalit,ML,2022-03-08 18:00:21,20.1986,1.0114,75.38,8,26,9.73
224,Russell,US,2022-03-08 18:00:23,32.3502,-85.1999,60.08,79,100,4.61
225,Chuy,UY,2022-03-08 18:00:25,-33.6971,-53.4616,78.4,41,0,6.87
226,Asau,RO,2022-03-08 18:00:25,46.4333,26.4,28.4,89,99,3.74
227,Maldonado,UY,2022-03-08 18:00:26,-34.6667,-54.9167,76.23,36,0,6.51
228,Maceio,BR,2022-03-08 18:00:15,-9.6658,-35.7353,85.44,61,40,11.5
229,La Ronge,CA,2022-03-08 18:00:27,55.1001,-105.2842,8.58,78,100,15.08
230,Huron,US,2022-03-08 18:00:28,41.1501,-82.5499,37.0,72,86,6.58
231,Lakatoro,VU,2022-03-08 18:00:28,-16.0999,167.4164,80.17,84,95,4.5
232,Port Hawkesbury,CA,2022-03-08 18:01:30,45.6169,-61.3485,33.91,78,100,27.63
233,Bambous Virieux,MU,2022-03-08 18:01:30,-20.3428,57.7575,77.25,94,40,3.44
234,Nhulunbuy,AU,2022-03-08 18:01:30,-12.2333,136.7667,83.01,83,77,8.05
235,Kenora,CA,2022-03-08 18:01:31,49.8167,-94.4337,24.78,68,100,13.0
236,Arlit,NE,2022-03-08 18:01:31,18.7369,7.3853,79.59,5,32,9.98
237,Bilma,NE,2022-03-08 18:01:32,18.6853,12.9164,84.09,7,2,10.63
238,Waipawa,NZ,2022-03-08 18:01:32,-41.4122,175.5153,62.46,88,0,6.02
239,Longkou,CN,2022-03-08 18:01:33,37.6508,120.3286,44.85,55,0,5.88
240,Rupert,US,2022-03-08 18:01:34,42.6191,-113.6772,37.65,66,96,10.6
241,Marsa Matruh,EG,2022-03-08 18:01:34,31.3525,27.2453,56.7,88,100,11.65
242,Ghanzi,BW,2022-03-08 18:01:35,-21.5667,21.7833,69.01,86,99,3.27
243,Cabo San Lucas,MX,2022-03-08 18:01:27,22.8909,-109.9124,76.6,50,5,6.85
244,Dalbandin,PK,2022-03-08 18:01:36,28.8947,64.4101,67.68,44,58,13.96
245,Krasnoarmeysk,RU,2022-03-08 18:01:37,51.0239,45.6969,19.29,98,99,3.56
246,Bandarbeyla,SO,2022-03-08 18:01:37,9.4942,50.8122,77.05,66,20,10.71
247,Cidreira,BR,2022-03-08 18:01:38,-30.1811,-50.2056,76.89,73,50,11.18
248,Riyadh,SA,2022-03-08 18:00:15,24.6877,46.7219,74.37,17,40,11.12
249,Acarau,BR,2022-03-08 18:01:10,-2.8856,-40.12,83.93,70,64,12.15
250,Caceres,ES,2022-03-08 18:01:38,39.522,-6.3748,51.8,75,60,6.22
251,Santa Marta,CO,2022-03-08 18:01:39,11.2408,-74.199,95.34,61,1,14.92
252,Kahului,US,2022-03-08 18:01:39,20.8947,-156.47,75.85,83,35,3.0
253,Coleraine,GB,2022-03-08 18:01:40,55.1333,-6.6667,48.11,84,100,22.53
254,Phalombe,MW,2022-03-08 18:01:40,-15.8064,35.6507,67.8,95,65,3.6
255,Cherskiy,RU,2022-03-08 18:01:41,68.75,161.3,-6.07,94,94,2.44
256,Caucaia,BR,2022-03-08 18:01:41,-3.7361,-38.6531,83.03,73,62,9.48
